date,Fairfax,Montgomery,Prince George's,Falls Church city,Arlington,Prince William,Loudoun,Alexandria city,Charles,Anne Arundel
2020-03-07,1,3,,,,,,,,
2020-03-08,2,4,,,,,,,,
2020-03-09,4,4,1.0,,,,,,,
2020-03-10,4,5,3.0,,,,2.0,,,
2020-03-11,4,6,5.0,,2.0,,2.0,,,
2020-03-12,4,6,5.0,,2.0,1.0,2.0,1.0,,
2020-03-13,6,6,7.0,,5.0,2.0,3.0,1.0,1.0,1.0
2020-03-14,10,12,7.0,,7.0,2.0,5.0,1.0,1.0,1.0
2020-03-15,10,12,9.0,,8.0,3.0,5.0,1.0,1.0,2.0
2020-03-16,10,15,10.0,,9.0,3.0,5.0,2.0,1.0,2.0
2020-03-17,12,24,14.0,,13.0,4.0,5.0,2.0,1.0,3.0
2020-03-18,14,31,20.0,,14.0,4.0,5.0,2.0,2.0,4.0
2020-03-19,16,33,23.0,,17.0,12.0,5.0,3.0,2.0,5.0
2020-03-20,16,51,31.0,,17.0,12.0,9.0,3.0,2.0,10.0
2020-03-21,22,68,36.0,,22.0,14.0,14.0,5.0,4.0,16.0
2020-03-22,31,83,40.0,,26.0,18.0,15.0,5.0,5.0,19.0
2020-03-23,43,93,47.0,,34.0,18.0,15.0,6.0,5.0,20.0
2020-03-24,46,107,63.0,,36.0,23.0,18.0,8.0,5.0,24.0
2020-03-25,76,127,76.0,,46.0,32.0,20.0,9.0,8.0,31.0
2020-03-26,124,164,101.0,,63.0,44.0,43.0,14.0,10.0,42.0
2020-03-27,124,208,148.0,,63.0,44.0,43.0,18.0,17.0,63.0
2020-03-28,156,255,196.0,,75.0,56.0,54.0,20.0,21.0,88.0
2020-03-29,187,301,247.0,,84.0,72.0,61.0,25.0,28.0,99.0
2020-03-30,225,341,294.0,,86.0,79.0,61.0,26.0,33.0,110.0
2020-03-31,244,388,341.0,,104.0,94.0,87.0,30.0,40.0,127.0
2020-04-01,288,447,403.0,,119.0,106.0,105.0,32.0,56.0,158.0
2020-04-02,328,498,473.0,,128.0,117.0,121.0,33.0,69.0,206.0
2020-04-03,372,566,563.0,,135.0,131.0,130.0,56.0,90.0,249.0
2020-04-04,387,640,653.0,,150.0,159.0,150.0,68.0,95.0,289.0
2020-04-05,426,693,785.0,,181.0,175.0,167.0,74.0,111.0,319.0
2020-04-06,488,793,916.0,,203.0,193.0,188.0,93.0,129.0,343.0
2020-04-07,532,871,1020.0,,237.0,236.0,209.0,126.0,136.0,370.0
2020-04-08,570,1088,1310.0,,254.0,263.0,238.0,143.0,164.0,466.0
2020-04-09,690,1214,1476.0,,280.0,299.0,258.0,149.0,180.0,505.0
2020-04-10,777,1388,1716.0,,312.0,337.0,274.0,174.0,220.0,554.0
2020-04-11,946,1537,1923.0,,349.0,390.0,296.0,188.0,235.0,615.0
2020-04-12,1008,1631,2035.0,,366.0,389.0,309.0,198.0,253.0,659.0
2020-04-13,1164,1756,2205.0,2.0,390.0,434.0,324.0,235.0,274.0,724.0
2020-04-14,1207,1883,2356.0,2.0,401.0,508.0,344.0,247.0,292.0,783.0
2020-04-15,1298,1947,2527.0,2.0,420.0,536.0,367.0,254.0,310.0,850.0
2020-04-16,1375,2147,2732.0,2.0,453.0,582.0,378.0,275.0,327.0,902.0
2020-04-17,1476,2295,2976.0,2.0,485.0,644.0,385.0,321.0,337.0,972.0
2020-04-18,1633,2420,3170.0,2.0,520.0,700.0,413.0,354.0,347.0,1012.0
2020-04-19,1809,2523,3352.0,2.0,575.0,742.0,425.0,383.0,370.0,1053.0
2020-04-20,1925,2664,3592.0,24.0,593.0,793.0,446.0,421.0,393.0,1104.0
2020-04-21,2077,2785,3741.0,24.0,625.0,867.0,468.0,462.0,402.0,1164.0
2020-04-22,2256,2884,3882.0,25.0,663.0,924.0,475.0,474.0,428.0,1197.0
2020-04-23,2362,3078,4150.0,25.0,686.0,1027.0,498.0,512.0,443.0,1301.0
2020-04-24,2534,3246,4414.0,24.0,722.0,1110.0,529.0,547.0,460.0,1380.0
2020-04-25,2745,3502,4806.0,26.0,764.0,1184.0,564.0,575.0,484.0,1438.0
2020-04-26,2889,3665,4998.0,26.0,790.0,1265.0,596.0,591.0,505.0,1518.0
2020-04-27,3002,3863,5274.0,26.0,836.0,1353.0,628.0,627.0,530.0,1552.0
2020-04-28,3278,4023,5507.0,26.0,865.0,1449.0,688.0,653.0,540.0,1579.0
2020-04-29,3448,4176,5749.0,26.0,912.0,1527.0,727.0,700.0,552.0,1670.0
2020-04-30,3611,4326,6054.0,26.0,967.0,1645.0,746.0,754.0,565.0,1733.0
2020-05-01,3897,4780,6747.0,26.0,1004.0,1781.0,832.0,802.0,613.0,1815.0
2020-05-02,4046,4945,7053.0,26.0,1044.0,1900.0,881.0,848.0,624.0,1893.0
2020-05-03,4340,5177,7345.0,35.0,1106.0,2026.0,931.0,899.0,640.0,1967.0
2020-05-04,4615,5411,7611.0,36.0,1139.0,2146.0,961.0,940.0,654.0,2026.0
2020-05-05,4834,5569,7846.0,36.0,1169.0,2223.0,998.0,983.0,663.0,2054.0
2020-05-06,4834,5819,8150.0,36.0,1169.0,2223.0,998.0,983.0,673.0,2094.0
2020-05-07,5045,6062,8531.0,36.0,1248.0,2398.0,1043.0,1060.0,701.0,2203.0
2020-05-08,5338,6347,8917.0,37.0,1281.0,2474.0,1070.0,1110.0,719.0,2300.0
2020-05-09,5610,6588,9221.0,37.0,1332.0,2548.0,1127.0,1142.0,730.0,2381.0
2020-05-10,5892,6796,9512.0,37.0,1368.0,2740.0,1159.0,1193.0,749.0,2472.0
2020-05-11,6200,6944,9704.0,37.0,1399.0,2991.0,1195.0,1224.0,757.0,2501.0
2020-05-12,6470,7164,9910.0,37.0,1416.0,3078.0,1210.0,1240.0,762.0,2530.0
2020-05-13,6666,7319,10091.0,39.0,1460.0,3181.0,1283.0,1305.0,779.0,2606.0
2020-05-14,6951,7588,10468.0,39.0,1499.0,3351.0,1339.0,1349.0,798.0,2670.0
2020-05-15,7159,7797,10811.0,40.0,1534.0,3421.0,1374.0,1396.0,831.0,2760.0
2020-05-16,7386,8026,11052.0,42.0,1560.0,3563.0,1430.0,1460.0,846.0,2809.0
2020-05-17,7643,8244,11337.0,44.0,1590.0,3666.0,1446.0,1476.0,861.0,2864.0
2020-05-18,7843,8455,11629.0,44.0,1638.0,3759.0,1486.0,1510.0,869.0,2901.0
2020-05-19,8020,8988,12261.0,44.0,1688.0,3934.0,1527.0,1544.0,896.0,2989.0
2020-05-20,8163,9093,12467.0,44.0,1728.0,4054.0,1579.0,1577.0,922.0,3041.0
2020-05-21,8580,9297,12852.0,46.0,1763.0,4183.0,1700.0,1627.0,944.0,3140.0
2020-05-22,8734,9470,13099.0,46.0,1795.0,4315.0,1807.0,1657.0,958.0,3215.0
2020-05-23,8945,9735,13346.0,47.0,1804.0,4408.0,1831.0,1703.0,971.0,3290.0
2020-05-24,8989,9958,14039.0,47.0,1873.0,4468.0,1821.0,1733.0,991.0,3315.0
2020-05-25,9482,10147,14240.0,48.0,1897.0,4702.0,2047.0,1754.0,999.0,3365.0
2020-05-26,9839,10327,14333.0,49.0,1935.0,4992.0,2186.0,1785.0,1003.0,3402.0
2020-05-27,10069,10504,14627.0,53.0,1988.0,5074.0,2274.0,1824.0,1009.0,3457.0
2020-05-28,10503,10791,15042.0,53.0,2039.0,5157.0,2318.0,1887.0,1028.0,3565.0
2020-05-29,10738,11075,15324.0,55.0,2089.0,5270.0,2429.0,1941.0,1057.0,3652.0
2020-05-30,10906,11291,15579.0,55.0,2107.0,5412.0,2529.0,1960.0,1086.0,3752.0
2020-05-31,11110,11401,15808.0,55.0,2116.0,5533.0,2575.0,1974.0,1109.0,3794.0
2020-06-01,11219,11516,15968.0,55.0,2123.0,5663.0,2611.0,1981.0,1121.0,3851.0
2020-06-02,11426,11771,16116.0,55.0,2133.0,5724.0,2636.0,2000.0,1134.0,3933.0
2020-06-03,11596,11964,16279.0,55.0,2142.0,5837.0,2659.0,2016.0,1153.0,4018.0
2020-06-04,11815,12266,16477.0,56.0,2150.0,5932.0,2794.0,2031.0,1176.0,4089.0
2020-06-05,11904,12473,16711.0,56.0,2173.0,6030.0,2837.0,2045.0,1187.0,4159.0
2020-06-06,12056,12662,16838.0,56.0,2195.0,6121.0,2939.0,2070.0,1198.0,4219.0
2020-06-07,12455,12773,16958.0,56.0,2225.0,6207.0,3094.0,2095.0,1204.0,4245.0
2020-06-08,12603,12857,17047.0,56.0,2256.0,6278.0,3147.0,2102.0,1213.0,4276.0
2020-06-09,12695,13007,17178.0,56.0,2265.0,6336.0,3174.0,2115.0,1218.0,4318.0
2020-06-10,12746,13163,17305.0,56.0,2280.0,6376.0,3180.0,2125.0,1233.0,4357.0
2020-06-11,12812,13315,17468.0,56.0,2299.0,6396.0,3229.0,2127.0,1237.0,4430.0
2020-06-12,12863,13387,17592.0,56.0,2307.0,6439.0,3280.0,2128.0,1250.0,4462.0
2020-06-13,12939,13573,17745.0,56.0,2321.0,6509.0,3321.0,2134.0,1266.0,4531.0
2020-06-14,13017,13646,17851.0,56.0,2338.0,6580.0,3384.0,2151.0,1271.0,4616.0
2020-06-15,13092,13696,17920.0,56.0,2346.0,6608.0,3404.0,2160.0,1274.0,4632.0
2020-06-16,13103,13749,17992.0,58.0,2363.0,6621.0,3439.0,2168.0,1279.0,4760.0
2020-06-17,13153,13859,18106.0,58.0,2372.0,6654.0,3458.0,2175.0,1293.0,4805.0
2020-06-18,13209,13902,18174.0,58.0,2382.0,6684.0,3499.0,2186.0,1296.0,4844.0
2020-06-19,13244,13968,18208.0,58.0,2396.0,6756.0,3504.0,2198.0,1296.0,4871.0
2020-06-20,13341,14044,18310.0,59.0,2405.0,6807.0,3543.0,2217.0,1306.0,4889.0
2020-06-21,13419,14119,18367.0,59.0,2418.0,6879.0,3585.0,2227.0,1315.0,4913.0
2020-06-22,13499,14181,18430.0,59.0,2424.0,6904.0,3612.0,2236.0,1330.0,4925.0
2020-06-23,13579,14244,18571.0,58.0,2431.0,6962.0,3632.0,2248.0,1335.0,4955.0
2020-06-24,13588,14323,18644.0,57.0,2438.0,7038.0,3683.0,2258.0,1343.0,4965.0
2020-06-25,13611,14421,18767.0,57.0,2445.0,7064.0,3739.0,2271.0,1352.0,4993.0
2020-06-26,13653,14510,18795.0,56.0,2449.0,7107.0,3806.0,2287.0,1359.0,5013.0
2020-06-27,13728,14559,18823.0,56.0,2454.0,7166.0,3890.0,2303.0,1364.0,5050.0
2020-06-28,13778,14646,18896.0,56.0,2464.0,7204.0,3932.0,2312.0,1373.0,5063.0
2020-06-29,13840,14714,18987.0,56.0,2466.0,7210.0,3968.0,2317.0,1385.0,5100.0
2020-06-30,13850,14776,19063.0,56.0,2479.0,7285.0,4000.0,2325.0,1395.0,5117.0
2020-07-01,13864,14842,19126.0,52.0,2484.0,7331.0,4047.0,2325.0,1401.0,5142.0
